City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hami,42.8,93.45,27.59,16,33,1.06,CN,1687974695
84,coron,11.9986,120.2043,26.32,87,100,1.22,PH,1687974695
85,bangaon,23.0667,88.8167,27.11,89,48,5.76,IN,1687974696
86,salalah,17.0151,54.0924,28.05,89,100,3.6,OM,1687974696
87,dunedin,-45.8742,170.5036,9.89,76,100,5.81,NZ,1687974696
88,tabou,4.423,-7.3528,24.81,80,98,3.72,CI,1687974697
89,geraldton,-28.7667,114.6,8.23,81,0,3.6,AU,1687974697
90,sao tome,0.3365,6.7273,26.53,72,100,5.75,ST,1687974697
91,port elizabeth,-33.918,25.5701,14.16,94,0,0.51,ZA,1687974697
92,wailua homesteads,22.0669,-159.378,25.44,87,100,6.69,US,1687974698
93,selkirk,50.1436,-96.8845,27.28,64,95,3.66,CA,1687974698
94,chonchi,-42.6128,-73.8092,10.07,74,100,1.5,CL,1687974698
95,toumodi,6.5613,-5.0158,24.84,87,64,1.63,CI,1687974698
96,taro,-8.3862,115.28,22.0,96,91,0.22,ID,1687974699
97,tianshui,34.5439,105.6897,17.37,65,75,1.08,CN,1687974699
98,utrik,11.2278,169.8474,27.84,73,87,9.36,MH,1687974699
99,tsiombe,-25.3,45.4833,17.94,84,9,1.75,MG,1687974699
100,constantia,44.1833,28.65,17.61,82,96,7.99,RO,1687974699
101,kabalo,-6.05,26.9167,28.81,38,17,1.39,CD,1687974700
102,ust-tsilma,65.441,52.1498,9.76,80,100,1.31,RU,1687974700
103,mazatlan,23.2167,-106.4167,33.98,64,20,2.24,MX,1687974493
104,san luis,-33.295,-66.3356,16.48,19,95,1.87,AR,1687974701
105,muisne,0.6,-80.0333,27.75,80,33,3.24,EC,1687974701
106,bethel,41.3712,-73.414,26.68,64,75,3.09,US,1687974536
107,bilibino,68.0546,166.4372,8.81,61,77,0.73,RU,1687974701
108,lichinga,-13.3128,35.2406,15.05,67,0,4.12,MZ,1687974701
109,tuy hoa,13.0833,109.3,25.32,90,24,1.83,VN,1687974702
110,atar,20.5169,-13.0499,43.35,7,23,4.71,MR,1687974702
111,iskateley,67.6803,53.1512,7.89,68,100,1.94,RU,1687974702
112,tropea,38.6754,15.8948,25.61,73,0,2.09,IT,1687974702
113,georgetown,5.4112,100.3354,27.97,83,20,0.0,MY,1687974535
114,bandarbeyla,9.4942,50.8122,24.52,80,29,14.82,SO,1687974704
115,boyolangu,-8.1181,111.8935,23.46,94,98,2.37,ID,1687974704
